20240209;95932;282.170000000;40;9581443861;S
20240209;95932;282.170000000;10;9581443862;B
20240209;95932;282.170000000;30;9581443863;B
20240209;95932;282.170000000;90;9581443864;B
20240209;95932;282.170000000;30;9581443865;B
20240209;95932;282.170000000;20;9581443866;S
20240209;95932;282.170000000;10;9581443867;S
20240209;95932;282.170000000;30;9581443868;S
20240209;95932;282.170000000;10;9581443869;S
20240209;95932;282.170000000;40;9581443870;S
20240209;95932;282.170000000;10;9581443871;S
20240209;95932;282.170000000;260;9581443872;S
20240209;95932;282.170000000;9740;9581443873;S
20240209;95932;282.170000000;9650;9581443874;S
20240209;95932;282.170000000;350;9581443875;S
20240209;95932;282.170000000;10;9581443876;S
20240209;95932;282.170000000;30;9581443877;S
20240209;95932;282.170000000;610;9581443878;S
20240209;95932;282.170000000;40;9581443879;S
20240209;95932;282.170000000;460;9581443880;S
20240209;95932;282.170000000;10;9581443881;S
20240209;95932;282.170000000;10;9581443882;S
20240209;95932;282.170000000;70;9581443883;S
20240209;95932;282.170000000;20;9581443884;S
20240209;95932;282.170000000;280;9581443885;S
20240209;95932;282.170000000;20;9581443886;S
20240209;95932;282.170000000;20;9581443887;S
20240209;95932;282.170000000;10;9581443888;S
20240209;95932;282.170000000;10;9581443889;S
20240209;95932;282.170000000;60;9581443890;S
20240209;95932;282.170000000;20;9581443891;S
20240209;95932;282.170000000;100;9581443892;S
20240209;95932;282.170000000;10;9581443893;S
20240209;95932;282.170000000;100;9581443894;S
20240209;95932;282.170000000;10;9581443895;S
20240209;95932;282.170000000;10;9581443896;S
20240209;95932;282.170000000;30;9581443897;S
20240209;95932;282.170000000;10;9581443898;S
20240209;95932;282.170000000;30;9581443899;S
20240209;95932;282.170000000;10;9581443900;S
20240209;95932;282.170000000;10;9581443901;S
20240209;95932;282.170000000;10;9581443902;S
20240209;95932;282.170000000;10;9581443903;S
20240209;95932;282.170000000;20;9581443904;S
20240209;95932;282.170000000;10;9581443905;S
20240209;95932;282.170000000;30;9581443906;S
20240209;95932;282.170000000;10;9581443907;S
20240209;95932;282.170000000;10;9581443908;S
20240209;95932;282.170000000;170;9581443909;S
20240209;95932;282.170000000;1500;9581443910;B
20240209;95932;282.170000000;1000;9581443911;B
20240209;95932;282.170000000;10;9581443912;B
20240209;95932;282.170000000;10;9581443913;B
20240209;95932;282.170000000;10;9581443914;B
20240209;95932;282.170000000;10;9581443915;B
20240209;95932;282.170000000;100;9581443916;B
20240209;95932;282.170000000;40;9581443917;B
20240209;95932;282.170000000;100;9581443918;B
20240209;95932;282.170000000;10;9581443919;B
20240209;95932;282.170000000;210;9581443920;B
20240209;95932;282.170000000;100;9581443921;B
20240209;95932;282.170000000;20;9581443922;B
20240209;95932;282.170000000;100;9581443923;B
20240209;95932;282.170000000;10;9581443924;B
20240209;95932;282.170000000;10;9581443925;B
20240209;95932;282.170000000;4000;9581443926;S
20240209;95932;282.170000000;90;9581443927;S
20240209;95932;282.170000000;100;9581443928;B
20240209;95932;282.170000000;10;9581443929;S
20240209;95932;282.170000000;120;9581443930;S
20240209;95932;282.170000000;70;9581443931;S
20240209;95932;282.170000000;80;9581443932;B
20240209;95932;282.170000000;800;9581443933;B
20240209;95932;282.170000000;10;9581443934;S
20240209;95932;282.170000000;3000;9581443935;S
20240209;95932;282.170000000;900;9581443936;S
20240209;95932;282.170000000;150;9581443937;B
20240209;95932;282.170000000;20;9581443938;B
20240209;95932;282.170000000;20;9581443939;S
20240209;95932;282.170000000;10;9581443940;S
20240209;95932;282.170000000;30;9581443941;B
20240209;95932;282.170000000;10;9581443942;S
20240209;95932;282.170000000;120;9581443943;S
20240209;95932;282.170000000;10;9581443944;S
20240209;95932;282.170000000;40;9581443945;S
20240209;95932;282.170000000;10;9581443946;B
20240209;95932;282.170000000;10;9581443947;B
20240209;95932;282.170000000;50;9581443948;B
20240209;95932;282.170000000;20;9581443949;B
20240209;95932;282.170000000;50;9581443950;S
20240209;95932;282.170000000;50;9581443951;S
20240209;95932;282.170000000;50;9581443952;B
20240209;95932;282.170000000;10;9581443953;B
20240209;95932;282.170000000;910;9581443954;S
20240209;95932;282.170000000;1770;9581443955;S
20240209;95932;282.170000000;10;9581443956;S
20240209;95932;282.170000000;20;9581443957;S
20240209;95932;282.170000000;10;9581443958;S
20240209;95932;282.170000000;790;9581443959;S
20240209;95932;282.170000000;10;9581443960;S
20240209;95932;282.170000000;20;9581443961;S
20240209;95932;282.170000000;500;9581443962;B
20240209;95932;282.170000000;10;9581443963;S
20240209;95932;282.170000000;10;9581443964;S
20240209;95932;282.170000000;500;9581443965;S
20240209;95932;282.170000000;180;9581443966;S
20240209;95932;282.170000000;10;9581443967;S
20240209;95932;282.170000000;600;9581443968;S
20240209;95932;282.170000000;10;9581443969;S
20240209;95932;282.170000000;10;9581443970;S
20240209;95932;282.170000000;200;9581443971;S
20240209;95932;282.170000000;500;9581443972;S
20240209;95932;282.170000000;120;9581443973;S
20240209;95932;282.170000000;30;9581443974;S
20240209;95932;282.170000000;10;9581443975;S
20240209;95932;282.170000000;70;9581443976;S
20240209;95932;282.170000000;1300;9581443977;S
20240209;95932;282.170000000;300;9581443978;S
20240209;95932;282.170000000;50;9581443979;B
20240209;95932;282.170000000;10;9581443980;B
20240209;95932;282.170000000;30;9581443981;B
20240209;95932;282.170000000;50;9581443982;B
20240209;95932;282.170000000;200;9581443983;B
20240209;95932;282.170000000;120;9581443984;B
20240209;95932;282.170000000;100;9581443985;B
20240209;95932;282.170000000;10;9581443986;B
